TOTAL_SIMULATION_CYCLES,NUM_AGGRESSIVE_PRECHARGES,QUEUE_LATENCY,MLP,SUM_COMMITTED,IPC,SUM_OF_EXECUTION_TIMES,WEIGHTED_SPEEDUP,BANK_ACCESS_MEAN,BANK_ACCESS_VARIANCE,CYCLES_PER_REQUEST,READ_WRITE_LATENCY_RATIO,TARGET_RD_request_ratio
845009330.0,5999908.0,262.47615,0.007100404441688236,14865054122.0,17.59158578994625,4283863800.0,5.069605326132907,749988.5,15.145462650048598,140.83704783449875,36914.37697426954,0.5820180909440611
55893266.0,5985728.0,368.00373,0.1070921137440779,42933943.0,0.7681416040350907,333817568.0,5.972411202451473,748216.0,16.206200273886775,9.33775574164189,3436.008096715537,0.6103040432174666
606275162.0,5999417.0,220.007,0.009895534859466995,8135476824.0,13.4187862771129,2793919270.0,4.608335365056568,749927.125,15.662523246369233,101.05567957669712,22210.511912916365,0.7706515483087774
163067834.0,5999634.0,282.66206,0.03679225910365621,1756445032.0,10.77125383292943,905830163.0,5.554928527474033,749954.25,17.350594450699347,27.17963029073577,7680.562739473736,0.5333452007239108
143328362.0,5999917.0,281.95245,0.04186133795347497,810658707.0,5.655954590480843,742987877.0,5.183816145195324,749989.625,11.149214891431654,23.888390789366106,6733.781717538842,0.5071033482629843
108315038.0,5999921.0,314.7697,0.05539324096438022,685108050.0,6.325142497757329,627043067.0,5.789067506951343,749990.125,13.896064543566819,18.05274402776628,5681.431167580455,0.6145244245715902
493878842.0,5999829.0,237.84586,0.01214838233543927,5232798659.0,10.59530843194129,1833962771.0,3.713385986678895,749978.625,9.930591128368714,82.3154863245564,19562.29483808274,0.509549188818548
125312990.0,5998900.0,363.82478,0.04787133400934732,908672357.0,7.251222375270114,677242393.0,5.404406941371361,749862.5,13.133021873291023,20.889328043439818,7598.467910876807,0.5366805581023187
299354498.0,6000000.0,301.52154,0.0200431262602909,784485598.0,2.620590648348969,1788742008.0,5.975330318905046,750000.0,13.172275293127546,49.89241633325018,15036.136315416885,0.9476105
345742730.0,5997813.0,611.13762,0.01734761856019359,3794904702.0,10.97609399335743,1998966679.0,5.781659325128832,749726.625,27.000482941389798,57.644799862787245,35208.609860890036,0.6859580317025555
